gid;nombre_ori;superficie_ori;codigo_ori
15;9 de Julio                                                                                                                                                                                                                                                    ;17305.0;01                                                                                                                                                                                                                                                            
14;Vera                                                                                                                                                                                                                                                          ;20735.0;02                                                                                                                                                                                                                                                            
13;General Obligado                                                                                                                                                                                                                                              ;11124.0;03                                                                                                                                                                                                                                                            
16;San Javier                                                                                                                                                                                                                                                    ;6658.0;04                                                                                                                                                                                                                                                            
12;Garay                                                                                                                                                                                                                                                         ;4056.0;05                                                                                                                                                                                                                                                            
17;San Justo                                                                                                                                                                                                                                                     ;5609.0;06                                                                                                                                                                                                                                                            
18;San Cristobal                                                                                                                                                                                                                                                 ;14715.0;07                                                                                                                                                                                                                                                            
9;Castellanos                                                                                                                                                                                                                                                   ;6730.0;08                                                                                                                                                                                                                                                            
19;Las Colonias                                                                                                                                                                                                                                                  ;6305.0;09                                                                                                                                                                                                                                                            
11;La Capital                                                                                                                                                                                                                                                    ;2983.0;10                                                                                                                                                                                                                                                            
10;San Jerónimo                                                                                                                                                                                                                                                  ;4429.0;11                                                                                                                                                                                                                                                            
8;San Martin                                                                                                                                                                                                                                                    ;4934.0;12                                                                                                                                                                                                                                                            
7;Belgrano                                                                                                                                                                                                                                                      ;2450.0;13                                                                                                                                                                                                                                                            
6;Iriondo                                                                                                                                                                                                                                                       ;3221.0;14                                                                                                                                                                                                                                                            
4;San Lorenzo                                                                                                                                                                                                                                                   ;2005.0;15                                                                                                                                                                                                                                                            
5;Rosario                                                                                                                                                                                                                                                       ;1887.0;16                                                                                                                                                                                                                                                            
1;General Lopez                                                                                                                                                                                                                                                 ;11515.0;17                                                                                                                                                                                                                                                            
3;Caseros                                                                                                                                                                                                                                                       ;3479.0;18                                                                                                                                                                                                                                                            
2;Constitucion                                                                                                                                                                                                                                                  ;3230.0;19                                                                                                                                                                                                                                                            
