gid;id_distrito_ori;nombre_ori;id_departamento_ori;regional;cod_deleg_ori;nombre_deleg_ori;nombre1_ori
1;0101;General Lopez;01;N;3;RAFAELA;Gregoria Perez de Denis
1;0102;General Lopez;01;N;3;RAFAELA;Gato Colorado
1;0103;General Lopez;01;N;3;RAFAELA;San Bernardo (01)
1;0104;General Lopez;01;N;3;RAFAELA;Pozo Borrado
1;0105;General Lopez;01;N;3;RAFAELA;Tostado
1;0106;General Lopez;01;N;3;RAFAELA;Logrono
1;0107;General Lopez;01;N;3;RAFAELA;Esteban Rams
1;0108;General Lopez;01;N;3;RAFAELA;Montefiore
1;0109;General Lopez;01;N;3;RAFAELA;Juan de Garay
1;0110;General Lopez;01;N;3;RAFAELA;Villa Minetti
1;0111;General Lopez;01;N;3;RAFAELA;Santa Margarita
2;0202;Constitucion;02;N;2;RECONQUISTA;Vera
2;0203;Constitucion;02;N;2;RECONQUISTA;La Gallareta
2;0204;Constitucion;02;N;2;RECONQUISTA;Margarita
2;0205;Constitucion;02;N;2;RECONQUISTA;Calchaqui
2;0206;Constitucion;02;N;2;RECONQUISTA;Toba
2;0207;Constitucion;02;N;2;RECONQUISTA;Fortin Olmos
2;0208;Constitucion;02;N;2;RECONQUISTA;Canada Ombu
2;0209;Constitucion;02;N;2;RECONQUISTA;Golondrina
2;0210;Constitucion;02;N;2;RECONQUISTA;Intiyaco
2;0211;Constitucion;02;N;2;RECONQUISTA;Garabato
2;0212;Constitucion;02;N;2;RECONQUISTA;Los Amores
2;0213;Constitucion;02;N;2;RECONQUISTA;Tartagal
3;0302;Caseros;03;N;2;RECONQUISTA;Florencia
3;0303;Caseros;03;N;2;RECONQUISTA;El Rabon
3;0304;Caseros;03;N;2;RECONQUISTA;Villa Guillermina
3;0305;Caseros;03;N;2;RECONQUISTA;Las Toscas
3;0306;Caseros;03;N;2;RECONQUISTA;San Antonio de Obligado
3;0307;Caseros;03;N;2;RECONQUISTA;Tacuarendi
3;0308;Caseros;03;N;2;RECONQUISTA;Villa Ocampo
