gid;id_distrito_ori;nombre_ori;id_departamento_ori;regional;cod_deleg_ori;nombre_deleg_ori;nombre1_ori;nombre_dpto
14;0101                                                                                                                                                                                                                                                          ;Gregoria Perez de Denis                                                                                                                                                                                                                                       ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Gregoria Perez de Denis                                                                                                                                                                                                                                       ;
18;0102                                                                                                                                                                                                                                                          ;Gato Colorado                                                                                                                                                                                                                                                 ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Gato Colorado                                                                                                                                                                                                                                                 ;
31;0103                                                                                                                                                                                                                                                          ;San Bernardo                                                                                                                                                                                                                                                  ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;San Bernardo (01)                                                                                                                                                                                                                                             ;
71;0104                                                                                                                                                                                                                                                          ;Pozo Borrado                                                                                                                                                                                                                                                  ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Pozo Borrado                                                                                                                                                                                                                                                  ;
72;0105                                                                                                                                                                                                                                                          ;Tostado                                                                                                                                                                                                                                                       ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Tostado                                                                                                                                                                                                                                                       ;
73;0106                                                                                                                                                                                                                                                          ;Logroño                                                                                                                                                                                                                                                       ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Logrono                                                                                                                                                                                                                                                       ;
54;0107                                                                                                                                                                                                                                                          ;Esteban Rams                                                                                                                                                                                                                                                  ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Esteban Rams                                                                                                                                                                                                                                                  ;
52;0108                                                                                                                                                                                                                                                          ;Montefiore                                                                                                                                                                                                                                                    ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Montefiore                                                                                                                                                                                                                                                    ;
53;0109                                                                                                                                                                                                                                                          ;Juan de Garay                                                                                                                                                                                                                                                 ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Juan de Garay                                                                                                                                                                                                                                                 ;
30;0110                                                                                                                                                                                                                                                          ;Villa Minetti                                                                                                                                                                                                                                                 ;01;N                                                                                                                                                                                                                                                             ;3                                                                                                                                                                                                                                                             ;RAFAELA                                                                                                                                                                                                                                                       ;Villa Minetti                                                                                                                                                                                                                                                 ;
