gid_ori;nombre_ori;nombre_corto_ori;departamento_ori;observacion_ori;codigo_ori;jurisdiccion_ori;id_tipo_acto_admin_ori;acto_admin_numero_ori;acto_admin_fecha_ori;fecha_fundacion_ori;fundador_ori;id_representante_ori;domicilio_municipal_ori;id_dsitrito_ori;region_ori;distrito_ori
1;Gregoria Perez de Denis;Gregoria Perez de Denis;9 de Julio;;0101     ;Comuna;;;;;;;Av. Gral. Pueyrredon S/N;;Región 2 - Nodo Rafaela;
2;Gato Colorado;Gato Colorado;9 de Julio;;0102     ;Comuna;;;;;;;Ernesto Gronda S/N;;Región 2 - Nodo Rafaela;
3;San Bernardo;San Bernardo;9 de Julio;;0103     ;Comuna;;;;;;;Ruta 95 Km 844;;Región 2 - Nodo Rafaela;
4;Pozo Borrado;Pozo Borrado;9 de Julio;;0104     ;Comuna;;;;;;;Gral. Paz S/N;;Región 2 - Nodo Rafaela;
5;Tostado;Tostado;9 de Julio;;0105     ;Municipalidad;;;;;;;Sarmiento 1145;;Región 2 - Nodo Rafaela;
6;Logroño;Logroño;9 de Julio;;0106     ;Comuna;;;;;;;Cortada Miguel Manassero S/N;;Región 2 - Nodo Rafaela;
7;Esteban Rams;Esteban Rams;9 de Julio;;0107     ;Comuna;;;;;;;Lisandro de la Torre S/N;;Región 2 - Nodo Rafaela;
8;Montefiore;Montefiore;9 de Julio;;0108     ;Comuna;;;;;;;Zona Rural;;Región 2 - Nodo Rafaela;
9;Juan de Garay;Juan de Garay;9 de Julio;;0109     ;Comuna;;;;;;;Zona Urbana;;Región 2 - Nodo Rafaela;
10;Villa Minetti;Villa Minetti;9 de Julio;;0110     ;Comuna;;;;;;;9 de Julio 751;;Región 2 - Nodo Rafaela;
11;Santa Margarita;Santa Margarita;9 de Julio;;0111     ;Comuna;;;;;;;Fray Mamerto Esquiú S/N;;Región 2 - Nodo Rafaela;
12;Vera;Vera;Vera;;0202     ;Municipalidad;;;;;;;Belgrano 1654;;Región 1 - Nodo Reconquista;
13;La Gallareta;La Gallareta;Vera;;0203     ;Comuna;;;;;;;Rivadavia y Belgrano;;Región 1 - Nodo Reconquista;
14;Margarita;Margarita;Vera;;0204     ;Comuna;;;;;;;Belgrano 1678;;Región 1 - Nodo Reconquista;
15;Calchaqui;Calchaqui;Vera;;0205     ;Municipalidad;;;;;;;Roque Sáenz Peña 1115;;Región 1 - Nodo Reconquista;
16;Toba;Toba;Vera;;0206     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
17;Fortín Olmos;Fortín Olmos;Vera;;0207     ;Comuna;;;;;;;Av. Perón e Hipólito Irigoyen;;Región 1 - Nodo Reconquista;
18;Cañada Ombú;Cañada Ombú;Vera;;0208     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
19;Golondrina;Golondrina;Vera;;0209     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
20;Intiyaco;Intiyaco;Vera;;0210     ;Comuna;;;;;;;9 de Julio S/N;;Región 1 - Nodo Reconquista;
21;Garabato;Garabato;Vera;;0211     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
22;Los Amores;Los Amores;Vera;;0212     ;Comuna;;;;;;;Zona Rural;;Región 1 - Nodo Reconquista;
23;Tartagal;Tartagal;Vera;;0213     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
24;Florencia;Florencia;General Obligado;;0302     ;Comuna;;;;;;;San Martín 615;;Región 1 - Nodo Reconquista;
25;El Rabón;El Rabón;General Obligado;;0303     ;Comuna;;;;;;;Zona Rural;;Región 1 - Nodo Reconquista;
26;Villa Guillermina;Villa Guillermina;General Obligado;;0304     ;Comuna;;;;;;;Menchaca y Rosario;;Región 1 - Nodo Reconquista;
27;Las Toscas;Las Toscas;General Obligado;;0305     ;Municipalidad;;;;;;;Calle 12 N° 901;;Región 1 - Nodo Reconquista;
28;San Antonio de Obligado;San Antonio de Obligado;General Obligado;;0306     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
29;Tacuarendí;Tacuarendí;General Obligado;;0307     ;Comuna;;;;;;;Esquina 5 y 8 S/N;;Región 1 - Nodo Reconquista;
30;Villa Ocampo;Villa Ocampo;General Obligado;;0308     ;Municipalidad;;;;;;;Padre Ángel Tibaldo 1578;;Región 1 - Nodo Reconquista;
31;Villa Ana;Villa Ana;General Obligado;;0309     ;Comuna;;;;;;;Uruguay y 25 de Mayo;;Región 1 - Nodo Reconquista;
32;Ingeniero Chanourdie;Ingeniero Chanourdie;General Obligado;;0312     ;Comuna;;;;;;;San Martín S/N;;Región 1 - Nodo Reconquista;
33;El Sombrerito;El Sombrerito;General Obligado;;0313     ;Comuna;;;;;;;Zona Rural;;Región 1 - Nodo Reconquista;
34;Arroyo Ceibal;Arroyo Ceibal;General Obligado;;0314     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
35;Las Garzas;Las Garzas;General Obligado;;0315     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
36;Lanteri;Lanteri;General Obligado;;0316     ;Comuna;;;;;;;Sarmiento S/N;;Región 1 - Nodo Reconquista;
37;Avellaneda;Avellaneda;General Obligado;;0319     ;Municipalidad;;;;;;;Calle 13 N° 492;;Región 1 - Nodo Reconquista;
38;Reconquista;Reconquista;General Obligado;;0320     ;Municipalidad;;;;;;;San Martín 1077;;Región 1 - Nodo Reconquista;
39;El Arazá;El Arazá;General Obligado;;0321     ;Comuna;;;;;;;Presbítero Antonio Pregolesi 960;;Región 1 - Nodo Reconquista;
40;Berna;Berna;General Obligado;;0322     ;Comuna;;;;;;;Liestich S/N;;Región 1 - Nodo Reconquista;
41;Malabrigo;Malabrigo;General Obligado;;0323     ;Municipalidad;;;;;;;Av. Federico C. Sigel 798;;Región 1 - Nodo Reconquista;
42;Los Laureles;Los Laureles;General Obligado;;0324     ;Comuna;;;;;;;Calle 9 N° 94;;Región 1 - Nodo Reconquista;
43;La Sarita;La Sarita;General Obligado;;0326     ;Comuna;;;;;;;Padre Pergolesi S/N;;Región 1 - Nodo Reconquista;
44;Guadalupe Norte;Guadalupe Norte;General Obligado;;0327     ;Comuna;;;;;;;Calle 9 S/N;;Región 1 - Nodo Reconquista;
45;Nicanor Molinas;Nicanor Molinas;General Obligado;;0328     ;Comuna;;;;;;;Zona Rural;;Región 1 - Nodo Reconquista;
46;Romang;Romang;San Javier;;0401     ;Comuna;;;;;;;Simón de Iriondo 789;;Región 1 - Nodo Reconquista;
47;Colonia Durán;Colonia Durán;San Javier;;0402     ;Comuna;;;;;;;Zona Urbana;;Región 1 - Nodo Reconquista;
48;Alejandra;Alejandra;San Javier;;0403     ;Comuna;;;;;;;Thomas Moore 1568;;Región 1 - Nodo Reconquista;
49;San Javier;San Javier;San Javier;;0404     ;Municipalidad;;;;;;;Alvear 2178;;Región 3 - Nodo Santa Fe;
50;Cacique Ariacaiquín;Cacique Ariacaiquín;San Javier;;0405     ;Comuna;;;;;;;Zona Urbana;;Región 3 - Nodo Santa Fe;
51;La Brava;La Brava;San Javier;;0406     ;Comuna;;;;;;;Zona Urbana;;Región 3 - Nodo Santa Fe;
52;Helvecia;Helvecia;Garay;;0501     ;Comuna;;;;;;;Dr. Romang 192;;Región 3 - Nodo Santa Fe;
