nom_loc_ori;idCalle;calle_ori;idBarrio;barrio_ori;manzana_ori;nom_prov;Calle_origen;Localidad_ori
Selva;;1 Mayo;;;;Santiago del Estero;1 Mayo;Selva
Guardia Escolta;;10;;;;Santiago del Estero;10;Guardia Escolta
General Pico;;117;;;;La Pampa;117;General Pico
Arribe;;12 De Octubre;;;;Buenos Aires;12 De Octubre;Arribe
Mar Del Plata;;14 De Julio;;;;Buenos Aires;14 De Julio;Mar Del Plata
Colon;;18;;;;Buenos Aires;18;Colon
Posadas;;"20 ""A""";;;;Misiones;"20 ""A""";Posadas
Selva;;20 De Junio;;;;Santiago del Estero;20 De Junio;Selva
C.A.B.A.;;25 De Mayo;;;;Capital Federal;25 De Mayo;C.A.B.A.
Devoto;;25 De Mayo;;;;Códoba;25 De Mayo;Devoto
Parana;;25 De Mayo;;;;Entre Ríos;25 De Mayo;Parana
Victoria;;25 De Mayo 502;;;;Entre Ríos;25 De Mayo 502;Victoria
Selva;;27 De Abril;;;;Santiago del Estero;27 De Abril;Selva
Colon;;42;;;;Buenos Aires;42;Colon
Colon;;45;;;;Buenos Aires;45;Colon
Colon;;46 Entre 7 Y 9;;;;Buenos Aires;46 Entre 7 Y 9;Colon
Colon;;48;;;;Buenos Aires;48;Colon
Colon;;50;;;;Buenos Aires;50;Colon
Colon;;7;;;;Buenos Aires;7;Colon
San Francisco;;9 De Julio;;;;Códoba;9 De Julio;San Francisco
Selva;;9 De Julio;;;;Santiago del Estero;9 De Julio;Selva
Selva;;9 De Julio 359;;;;Santiago del Estero;9 De Julio 359;Selva
San Francisco;;9 De Septiembre;;;;Códoba;9 De Septiembre;San Francisco
Resistencia;;A.Frondizi;;;;Chaco;A.Frondizi;Resistencia
San Nicolas De Los Arroyos;;Adolfo Alsina;;;;Buenos Aires;Adolfo Alsina;San Nicolas De Los Arroyos
Juana Koslay;;Aguada De Pueyrredon;;;;San Luis;Aguada De Pueyrredon;Juana Koslay
General Baldissera;;Alberdi;;;;Códoba;Alberdi;General Baldissera
Cruz Alta;;Alberti;;;;Códoba;Alberti;Cruz Alta
Parana;;Alem;;;;Entre Ríos;Alem;Parana
Mar Del Plata;;Almafuerte;;;;Buenos Aires;Almafuerte;Mar Del Plata
San Francisco;;Almafuerte;;;;Códoba;Almafuerte;San Francisco
Devoto;;Almirante Brown;;;;Códoba;Almirante Brown;Devoto
San Francisco;;Almirante Brown;;;;Códoba;Almirante Brown;San Francisco
Freyre;;Alsina 544;;;;Códoba;Alsina 544;Freyre
San Nicolas De Los Arroyos;;Ameghino;;;;Buenos Aires;Ameghino;San Nicolas De Los Arroyos
Porte;;Andrés Gorchs;;;;Códoba;Andres Gorchs;Porte
Parana;;Andres Pazos;;;;Entre Ríos;Andres Pazos;Parana
Parana;;Antelo;;;;Entre Ríos;Antelo;Parana
Resistencia;;Arbo Y Blanco;;;;Chaco;Arbo Y Blanco;Resistencia
General Arenales;;Ataliva Roca;;;;Buenos Aires;Ataliva Roca;General Arenales
Ascencion;;Av 24 De Mayo;;;;Buenos Aires;Av 24 De Mayo;Ascencion
Cordoba;;Av Figueroa Alcorta;;;;Códoba;Av Figueroa Alcorta;Cordoba
San Francisco;;Av. Chile;;;;Códoba;Av. Chile;San Francisco
Ramos Mejia;;Av. Gaona;;;;Buenos Aires;Av. Gaona;Ramos Mejia
San Francisco;;Av. Libertador Norte;;;;Códoba;Av. Libertador Norte;San Francisco
Parana;;Av. Ramirez;;;;Entre Ríos;Av. Ramirez;Parana
Arribe;;Av. San Martín;;;;Buenos Aires;Av. San Martin;Arribe
San Roque;;Av.Argentina Y Av.Maggi;;;;Códoba;Av.Argentina Y Av.Maggi;San Roque
San Nicolas De Los Arroyos;;Avda. Falcon;;;;Buenos Aires;Avda. Falcon;San Nicolas De Los Arroyos
Posadas;;Avda. Marconi;;;;Misiones;Avda. Marconi;Posadas
San Martin De Los Andes;;Avda.San Martìn;;;;Neuquén;Avda.San Martin;San Martin De Los Andes
Morteros;;Avellaneda;;;;Códoba;Avellaneda;Morteros
Corrientes;;Avenida Armenia;;;;Corrientes;Avenida Armenia;Corrientes
San Francisco;;Avenida Libertador Sur;;;;Códoba;Avenida Libertador Sur;San Francisco
Falda De Los Reartes;;Avenida Los Reartes;;;;Códoba;Avenida Los Reartes;Falda De Los Reartes
San Francisco;;Avenida Sabatini;;;;Códoba;Avenida Sabatini;San Francisco
Los Polvorines;;Aviadora Carola Lorenzini;;;;Buenos Aires;Aviadora Carola Lorenzini;Los Polvorines
Parana;;Balbin;;;;Entre Ríos;Balbin;Parana
Parana;;Barrio 170 Viviendas Mz. 2 C. 11;;;;Entre Ríos;Barrio 170 Viviendas Mz. 2 C. 11;Parana
Santo Tome;;Barrio 40 Viviendas Manzana B;;;;Corrientes;Barrio 40 Viviendas Manzana B;Santo Tome
Santa Sylvina;;Barrio Techo Digno;;;;Chaco;Barrio Techo Digno;Santa Sylvina
Puerto Madryn;;Bartolomé Mitre;;;;Chubut;Bartolome Mitre;Puerto Madryn
Parana;;Bases;;;;Entre Ríos;Bases;Parana
San Francisco;;Belgrano;;;;Códoba;Belgrano;San Francisco
Rio Tercero;;Belisario Roldan;;;;Códoba;Belisario Roldan;Rio Tercero
Munro;;Bernardo De Irigoyen;;;;Buenos Aires;Bernardo De Irigoyen;Munro
Villa Ramallo;;Bonfiglio;;;;Buenos Aires;Bonfiglio;Villa Ramallo
Villa Carlos Paz;;Buenos Aires;;;;Códoba;Buenos Aires;Villa Carlos Paz
Morteros;;Bv 25 De Mayo;;;;Códoba;Bv 25 De Mayo;Morteros
San Francisco;;Bv Saenz Peña;;;;Códoba;Bv Saenz Pena;San Francisco
La Falda;;Bv. Artigas;;;;Códoba;Bv. Artigas;La Falda
San Francisco;;Bv. Buenos Aires;;;;Códoba;Bv. Buenos Aires;San Francisco
San Benito;;Bv. Crespo;;;;Entre Ríos;Bv. Crespo;San Benito
Villa Angela;;B° 22 Viviendas Municipal Mz24 Pc 22;;;;Chaco;B° 22 Viviendas Municipal Mz24 Pc 22;Villa Angela
Parana;;Bº Mosconi3;;;;Entre Ríos;Bº Mosconi3;Parana
Munro;;C. Saavedra;;;;Buenos Aires;C. Saavedra;Munro
Lavalle;;Caá Guazú;;;;Corrientes;Caa Guazu;Lavalle
Merlo;;Cantata Del Bosque Natal;;;;San Luis;Cantata Del Bosque Natal;Merlo
Campana;;Capilla Del Señor;;;;Buenos Aires;Capilla Del Senor;Campana
San Francisco;;Carlos Gilli;;;;Códoba;Carlos Gilli;San Francisco
Parana;;Carolina Muzzilli;;;;Entre Ríos;Carolina Muzzilli;Parana
San Francisco;;Carrá;;;;Códoba;Carra;San Francisco
Brinkmann;;Caseros;;;;Códoba;Caseros;Brinkmann
San Francisco;;Castelli;;;;Códoba;Castelli;San Francisco
Parana;;Catamarca;;;;Entre Ríos;Catamarca;Parana
San Francisco;;Catamarca Norte;;;;Códoba;Catamarca Norte;San Francisco
Morteros;;Celestino Vaira;;;;Códoba;Celestino Vaira;Morteros
Parana;;Cesar Perez Cólman;;;;Entre Ríos;Cesar Perez Colman;Parana
Marcos Juarez;;Chacabuco;;;;Códoba;Chacabuco;Marcos Juarez
Bandera;;Chaco;;;;Santiago del Estero;Chaco;Bandera
Arias;;Chaco Y Salta;;;;Códoba;Chaco Y Salta;Arias
Parana;;Churruarín;;;;Entre Ríos;Churruarin;Parana
C.A.B.A.;;Ciudad De La Paz;;;;Capital Federal;Ciudad De La Paz;C.A.B.A.
Monte Caseros;;Colon;;;;Corrientes;Colon;Monte Caseros
Parana;;Colón;;;;Entre Ríos;Colon;Parana
San Francisco;;Colon;;;;Códoba;Colon;San Francisco
C.A.B.A.;;Colpayo;;;;Capital Federal;Colpayo;C.A.B.A.
Parana;;Comandate Espora;;;;Entre Ríos;Comandate Espora;Parana
11 De Septiembre;;Combate De Los Pozos;;;;Buenos Aires;Combate De Los Pozos;11 De Septiembre
Villa Nueva;;Comercio;;;;Códoba;Comercio;Villa Nueva
Arias;;Córdoba;;;;Códoba;Cordoba;Arias
San Francisco;;Córdoba;;;;Códoba;Cordoba;San Francisco
Alpa Corral;;Costanera;;;;Códoba;Costanera;Alpa Corral
Parana;;Crucero Gral. Belgrano;;;;Entre Ríos;Crucero Gral. Belgrano;Parana
Parana;;Cura Alvarez;;;;Entre Ríos;Cura Alvarez;Parana
Baradero;;Darragueira;;;;Buenos Aires;Darragueira;Baradero
San Nicolas De Los Arroyos;;De Las Artes;;;;Buenos Aires;De Las Artes;San Nicolas De Los Arroyos
Capilla Del Monte;;Dean Funes;;;;Códoba;Dean Funes;Capilla Del Monte
Mar Del Plata;;Dean Funes;;;;Buenos Aires;Dean Funes;Mar Del Plata
San Francisco;;Dean Funes;;;;Códoba;Dean Funes;San Francisco
Canals;;Doctor Barutia;;;;Códoba;Doctor Barutia;Canals
Santa Sylvina;;Doña Eugenia;;;;Chaco;Dona Eugenia;Santa Sylvina
San Francisco;;Dorrego;;;;Códoba;Dorrego;San Francisco
Camilo Aldao;;Dra. Ines N. De Aldao;;;;Códoba;Dra. Ines N. De Aldao;Camilo Aldao
San Francisco;;Drago;;;;Códoba;Drago;San Francisco
Alta Gracia;;Eduardo Madero;;;;Códoba;Eduardo Madero;Alta Gracia
Tigre;;Eduardo Madero;;;;Buenos Aires;Eduardo Madero;Tigre
Santa Rosa De Calamuchita;;El Nogal;;;;Códoba;El Nogal;Santa Rosa De Calamuchita
Corral De Bustos;;Entre Rios;;;;Códoba;Entre Rios;Corral De Bustos
San Francisco;;Entre Rios;;;;Códoba;Entre Rios;San Francisco
San Francisco;;Entre Ríos Sur;;;;Códoba;Entre Rios Sur;San Francisco
Morteros;;España;;;;Códoba;Espana;Morteros
Parana;;Estrada Y Los Vascos;;;;Entre Ríos;Estrada Y Los Vascos;Parana
Parana;;F. M. Esquiú;;;;Entre Ríos;F. M. Esquiu;Parana
San Francisco;;Falucho;;;;Códoba;Falucho;San Francisco
Nogoya;;Fitz Gerald;;;;Entre Ríos;Fitz Gerald;Nogoya
